verb_up,frequency,ftp,log_freq,log_ftp
blows up,1050,0.0242984257357974,6.956545443151569,-3.6927452118713564
boarded up,1082,0.1002949852507374,6.9865664594064265,-2.1939512519912507
bob up,96,0.0010564542753383,4.564348191467836,-6.851779988505144
bobbed up,77,0.2790697674418604,4.343805421853684,-0.9490805546971463
bobbing up,282,0.2023121387283237,5.641907070938114,-1.371905623667791
boil up,219,0.0210355987055016,5.389071729816501,-3.8402791005693055
book up,943,5.774476812488e-4,6.849066282633458,-7.456315100444124
booked up,1357,0.0764462809917355,7.213031659834869,-2.491640681969345
bore up,24,0.013142174432497,3.1780538303479458,-4.318699500722609
borne up,26,0.0170316301703163,3.258096538021482,-4.055504728905837
bottle up,383,0.0014201183431952,5.948034989180646,-6.55559394289633
bottled up,695,0.2292993630573248,6.543911845564792,-1.2122716071406314
bought up,1140,0.0040906578220011,7.038783541388542,-5.494950437735248
bounce up,299,0.0182348650619985,5.700443573390687,-3.986016685336475
bounced up,229,0.0909090909090909,5.43372200355424,-2.302585092994046
bounces up,121,0.0525657071339173,4.795790545596741,-2.8916936351540827
bouncing up,355,0.0525672371638141,5.872117789475416,-2.8916629136597862
bound up,1420,0.0323990743121625,7.258412150595307,-3.39668988364196
bounded up,61,0.0509164969450101,4.110873864173311,-2.9253098092574468
bounding up,64,0.0693877551020408,4.1588830833596715,-2.596132284898225
box up,295,8.886016641085e-4,5.68697535633982,-7.024972498028912
brace up,53,0.06266318537859,3.970291913552122,-2.7052685581403346
braced up,22,0.0705882352941176,3.091042453358316,-2.577688383238967
break up,16125,0.0418394819180673,9.688126141663973,-3.1311748821195025
breaking up,6228,0.0833859759949463,8.73681053295389,-2.3972063302978173
breaks up,2077,0.0465434633812457,7.638679823876112,-3.019707268603699
brighten up,8258,0.2436974789915966,9.018937706446035,-1.132513840343791
brightened up,740,0.1623931623931624,6.606650186198215,-1.6405284995041316
brightening up,801,0.2340425531914893,6.68586094706836,-1.1856236656577397
bring up,17789,0.0182611298806825,9.78633556772527,-3.9845506059996314
bringing up,4623,0.051774753135842,8.438799123988225,-2.9076894369576993
brings up,6432,0.0115843270868824,8.769040810858803,-4.446450259505247
broke up,6196,0.0687825390468562,8.73165920153676,-2.605542908020118
broken up,7300,0.0310759834740434,8.895629627136483,-3.4397509092018987
brought up,20078,0.0597635185276802,9.907379967251472,-2.755736002928589
brush up,3778,0.008,8.236950048061455,-4.820281565605037
brushed up,330,0.0212765957446808,5.799092654460526,-3.8286413964890977
brushing up,796,0.0158730158730158,6.679599185844383,-4.127134385045096
bubbled up,307,0.1707317073170731,5.726847747587197,-1.5804503755608486
bubbling up,718,0.0854700854700854,6.576469569048224,-2.370243741467861
buck up,283,0.0221631205673758,5.645446897643238,-3.786913194385306
buckle up,1893,0.0710227272727272,7.545918151209323,-2.571084346029054
build up,42079,0.044909415667262,10.647304082870662,-3.0571587128662787
building up,15353,0.0132723522554031,9.639066173658899,-4.308710968105798
builds up,6213,0.1739130434782608,8.734399150063695,-1.5581446180465504
built up,23859,0.0316430425234577,10.079916783625245,-3.4210824780840055
bumped up,1262,0.0102707749766573,7.140453043101158,-4.568128914307745
bunched up,497,0.282051282051282,6.208590026096629,-0.9343092373768337
bundled up,1669,0.18796992481203,7.419979923661835,-1.4632554022560194
bunged up,88,0.5714285714285714,4.477336814478207,0.28768207245178085
buoyed up,137,0.4285714285714285,4.919980925828125,-0.28768207245178123
buried up,96,0.0034700315457413,4.564348191467836,-5.660115528003722
burn up,1831,0.0264637777042672,7.5126175446745105,-3.6051581135595945
burned up,757,0.0500431406384814,6.6293632534374485,-2.9435311261762616
burning up,1144,0.029285949325436,7.042286171939743,-3.5009240796017256
burns up,371,0.0090497737556561,5.916202062607435,-4.6959245492565564
burnt up,170,0.0317353139770425,5.135798437050262,-3.4180754194495084
bust up,129,0.0287443267776096,4.859812404361672,-3.5201493245235236
busted up,257,0.0498915401301518,5.54907608489522,-2.9467246944472976
busting up,81,0.0840336134453781,4.394449154672439,-2.388762789235099
button up,403,0.0049433573635427,5.998936561946683,-5.3047549342064695
buttoned up,500,0.2262773722627737,6.214608098422191,-1.229451889626921
buy up,1451,0.0018145161290322,7.280008252884188,-6.310120278025236
buying up,1450,0.0053499777084262,7.27931883541462,-5.225298544644535
call up,11252,0.0062384133243092,9.328301169609748,-5.070771450350903
called up,5418,0.0053756935681814,8.59748202264504,-5.220477482751169
calling up,869,0.0045175863181671,6.767343125265392,-5.39524960672424
calls up,898,0.0023504273504273,6.8001700683022,-6.050804922172588
came up,65135,0.0481157869709938,11.084217318131664,-2.9848330677076267
carried up,395,0.0078143784563597,5.978885764901122,-4.843944779697047
carry up,1872,0.0035623409669211,7.534762657037537,-5.633768674035148
cast up,169,0.0084334270380782,5.1298987149230735,-4.767082871150839
catch up,40809,0.0430858310626703,10.61665792430154,-3.100519502384678
catches up,1848,0.0276497695852534,7.521859252201629,-3.5600986642480135
catching up,15948,0.1145083932853717,9.677088708501246,-2.04549485448475
caught up,39955,0.0514719669979373,10.595509099808563,-2.913874014696361
chained up,295,0.1176470588235294,5.68697535633982,-2.0149030205422647
chalk up,569,0.0098135426889106,6.343880434126331,-4.614129927359573
chalked up,1010,0.3448275862068966,6.917705609835305,-0.6418538861723946
change up,3972,8.452575016603e-4,8.287025025165063,-7.075023626403717
charged up,1296,0.0114320096269554,7.16703787691222,-4.459840138870835
chase up,242,0.0040733197556008,5.488937726156687,-5.4992153089149305
chatting up,380,0.0226843100189035,5.940171252720432,-3.7631362247204327
check up,3438,0.011707532582284,8.142645185942795,-4.435746228497959
checked up,370,0.0067862336403296,5.91350300563827,-4.986049818623644
checking up,796,0.0265095729013254,6.679599185844383,-3.603382081955525
cheer up,1714,0.1659267480577136,7.446585099157725,-1.6147748163622884
cheered up,275,0.096045197740113,5.616771097666572,-2.241960471177611
cheering up,380,0.0165184243964421,5.940171252720432,-4.0866225161281955
chew up,450,0.0133897110641296,6.1092475827643655,-4.299788536436915
chewed up,693,0.1469648562300319,6.541029999189903,-1.758607261911155
chin up,187,0.0135135135135135,5.231108616854587,-4.290459441148392
choked up,823,0.0752895752895752,6.71295620067707,-2.50813895128127
chop up,1665,0.0179163901791639,7.417580402414544,-4.0039605007538315
chopped up,1915,0.1120689655172413,7.557472901614746,-2.0697796307681
churned up,224,0.2121212121212121,5.4116460518550396,-1.3121863889661687
clam up,169,0.047808764940239,5.1298987149230735,-2.9915569021435116
clamber up,173,0.2285714285714285,5.153291594497779,-1.2163953243244934
clambered up,115,0.3474178403755869,4.74493212836325,-0.630408839926522
clambering up,115,0.2533333333333333,4.74493212836325,-1.080912711568709
clean up,33996,0.106483191725157,10.433998149618517,-2.1271779976289236
cleaned up,12115,0.2410215482841181,9.402199633250627,-1.1470870451705208
cleaning up,15350,0.1699123661148977,9.638870753015343,-1.5862484675151902
cleans up,1677,0.2153846153846154,7.424761761823209,-1.292768303109067
clear up,7447,0.0157059026579219,8.915566545710645,-4.137888124639694
cleared up,3213,0.0859891761876127,8.074960359115858,-2.3636209835804154
clearing up,1778,0.0717993079584775,7.48324441607385,-2.5593731348341007
clears up,1129,0.0142348754448398,7.029087564149662,-4.237723145067452
climb up,6766,0.2578160398731309,8.819665349340653,-1.057350830286684
climbed up,2483,0.2562834775442933,7.817222785508166,-1.0653757780278021
climbing up,3437,0.1920970266040688,8.142354276849835,-1.4364413776006129
climbs up,670,0.151819322459222,6.507277712385012,-1.7204025304462236
close up,4489,0.0067606895007835,8.409385238781931,-4.989846750480694
closed up,2021,0.0189817539729252,7.611347717403621,-3.9451128582563904
closes up,228,0.0072494669509594,5.429345628954441,-4.919551464795124
closing up,862,0.0249445676274944,6.759255270663693,-3.6658382549672406
cocked up,45,0.0511627906976744,3.8066624897703196,-2.9202247210458463
coiled up,172,0.1942857142857142,5.147494476813453,-1.4223993657620075
colored up,95,0.0041084634346754,4.553876891600541,-5.490589254195167
come up,162149,0.0225358336325223,11.996270944587247,-3.769854984491611
comes up,22481,0.0296995854877996,10.02042578700401,-3.4864726401596893
coming up,63516,0.0573951434878587,11.059047121645987,-2.7986874752071427
conjure up,3080,0.2325581395348837,8.03268487596762,-1.1939224684724348
conjured up,1375,0.3466666666666667,7.226209010100671,-0.63372376008914455
connect up,1438,0.0128805620608899,7.271008538280992,-4.339071685203487
connected up,323,0.0050230221850146,5.777652323222656,-5.288687817572203
continued up,576,0.0013931104356636,6.3561076606958915,-6.574822226598788
cook up,3536,0.003170942634765,8.170751423757535,-5.750550393444885
cooked up,2413,0.015531660692951,7.7886260656250315,-4.149221172447936
cooking up,2987,0.0067806603773584,8.00202481821611,-4.986877027477417
cooped up,1287,0.875,7.160069207596127,1.9459101490553132
cough up,1424,0.0103499260719566,7.261225091971921,-4.5603720430882
coughing up,855,0.008841732979664,6.75110146893676,-4.719391330078116
count up,890,0.0077539755552635,6.7912214627261855,-4.851765398337352
counted up,191,0.0232558139534883,5.25227342804663,-3.7376696182833715
counting up,539,0.0118089103596349,6.289715570908998,-4.42702172787477
cover up,10724,0.0324512034486887,9.28023949935585,-3.3950283306354425
covered up,3651,0.0342822161003979,8.202756381655638,-3.3382449036802195
covering up,2946,0.0435383552176917,7.988203597022576,-3.0895984097860842
covers up,1362,0.0081706763504312,7.2167094867094574,-4.7989993496335295
crack up,409,0.0132275132275132,6.013715156042802,-4.312140507209717
cracked up,1312,0.0488997555012225,7.179307969504034,-2.9678470700644555
cracking up,781,0.0887096774193548,6.660575149839686,-2.3294925459139706
crawl up,416,0.0436590436590436,6.030685260261263,-3.086704051759719
crawled up,270,0.0794520547945205,5.598421958998375,-2.449815329976731
crawling up,396,0.0359116022099447,5.981414211254481,-3.290122564740892
crawls up,77,0.015855039637599,4.343805421853684,-4.1282857956501395
creep up,1542,0.0929203539823008,7.340835554123275,-2.2784875414149863
creeping up,1489,0.118796992481203,7.305860032684009,-2.003871937109991
creeps up,633,0.0738636363636363,6.450470422144176,-2.5288008433452265
crept up,992,0.1040051679586563,6.899723107284872,-2.153494055330369
crop up,3106,0.0391459074733096,8.041091003708633,-3.2005266862000044
cropped up,1647,0.1953125,7.4067107301776405,-1.415853163361435
crowded up,94,0.0106312292358804,4.543294782270004,-4.533271310444228
crowding up,34,0.037174721189591003,3.5263605246161616,-3.254242968705494
crumpled up,224,0.1538461538461538,5.4116460518550396,-1.7047480922384257
crushed up,258,0.0120048019207683,5.552959584921617,-4.410371107683025
cuddle up,1209,0.0162962962962962,7.097548850614793,-4.100386876678069
cuddled up,536,0.1879194630872483,6.284134161070802,-1.4635860354215373
curl up,4811,0.216867469879518,8.478660241699453,-1.284015511999473
curled up,3422,0.4467408585055644,8.137980454452139,-0.21384781044072865
curling up,1521,0.093484419263456,7.327123292259293,-2.271813434327293
cut up,7095,0.0222178335143675,8.867145589594143,-3.78439163371695
cuts up,242,0.0066803699897225,5.488937726156687,-5.0018791217467955
cutting up,1484,0.0337257397391027,7.302496423727326,-3.355186370933684
dance up,77,0.0012677484787018,4.343805421853684,-6.669244250536826
danced up,48,0.0299448384554767,3.871201010907891,-3.4779959664580695
dancing up,129,0.0097444781290602,4.859812404361672,-4.621262233887736
darted up,23,0.0292825768667642,3.1354942159291497,-3.5010427166318743
dashed up,45,0.0580029368575624,3.8066624897703196,-2.787508512148615
dashing up,63,0.05,4.143134726391533,-2.9444389791664403
deliver up,1267,0.0082327113062568,7.144407180321139,-4.791373089490026
delivered up,278,0.0105401844532279,5.627621113690637,-4.541964110084302
die up,38,8.772699359592e-4,3.6375861597263857,-7.037818163280414
dig up,3998,0.0762509928514694,8.293549515060345,-2.4944099610508284
digging up,2112,0.0646840148698884,7.655390644826152,-2.6713703186058035
digs up,220,0.0611111111111111,5.393627546352362,-2.7320034421247033
disappeared up,43,0.0035724918130395,3.7612001156935624,-5.630913051423353
dish up,431,0.0071364852809991,6.066108090103747,-4.93537280959571
dished up,328,0.3142857142857143,5.793013608384144,-0.7801585575495751
divide up,1149,0.0334051724137931,7.046647277848756,-3.36506865757365
divided up,2161,0.0234826589595375,7.6783263565068856,-3.7277302763808136
doing up,731,0.005031907870608,6.594413459749778,-5.2869114579049
doll up,108,0.0082527401676337,4.68213122712422,-4.788923009697393
dolled up,747,0.7647058823529411,6.616065185132817,1.178654996341646
done up,1897,0.0031062477938581,7.5480289699350145,-5.771228696150991
double up,2621,0.0033736852550109,7.8713112033234065,-5.688370195661319
doubled up,1084,0.2069716775599128,6.988413181999592,-1.3432769760362
doubling up,859,0.1470588235294117,6.755768921984255,-1.7578579175523743
dragged up,173,0.0166112956810631,5.153291594497779,-4.080921541889961
drank up,82,0.0112806901128069,4.406719247264253,-4.473318054883289
draw up,5344,0.0140300386725424,8.583729715216482,-4.25242523842501
drawing up,2631,0.0102835774384543,7.875119281040293,-4.566870260900551
drawn up,6190,0.1030987547060527,8.730690365678642,-2.1632584491211726
dream up,1919,0.0021779713752333,7.5595594960077,-6.1271810506378666
dreamed up,1542,0.0113835376532399,7.340835554123275,-4.464138206688128
dredge up,253,0.2307692307692307,5.53338948872752,-1.2039728043259363
dredged up,230,0.4054054054054054,5.438079308923196,-0.38299225225610584
dredging up,164,0.1470588235294117,5.099866427824199,-1.7578579175523743
dress up,18180,0.0394276976845784,9.80807736773147,-3.193060698838778
dressed up,12499,0.1017798513910489,9.433403920090221,-2.177603031549849
dresses up,561,0.0184100418410041,6.329720905522696,-3.976277395295164
dressing up,6764,0.0907042253521126,8.81936971001847,-2.305066483845432
drew up,1643,0.0575328265376641,7.404279118037268,-2.796145408286728
dried up,4068,0.1550995775497888,8.31090675716845,-1.6951514307081301
dries up,1151,0.152073732718894,7.048386408721883,-1.7184281961425054
drifted up,87,0.01985559566787,4.465908118654584,-3.8992140471355667
drink up,919,0.0069163379271479,6.823286122355687,-4.9669284840579335
drive up,6710,0.0105204357136207,8.811354229965728,-4.543859488167364
driven up,794,0.0173085244482907,6.677083461247136,-4.039096087991627
driving up,3457,0.0095413458319384,8.148156439921625,-4.642533574842144
drove up,3011,0.0468310958476428,8.010027528481734,-3.0132446986386228
drum up,1789,0.0056529112492933,7.489412083508719,-5.169915651743528
dry up,3095,0.0223358449946178,8.037543185118697,-3.778973424424607
drying up,1411,0.079002079002079,7.252053951852814,-2.45598361031875
dug up,2935,0.1466227347611202,7.984462732262196,-1.7613388725273438
ease up,1006,0.0236375574523965,6.913737350659685,-3.7209970080040486
eat up,3341,0.0070577394290979,8.114025442356757,-4.946547709847042
eaten up,917,0.0309687665431445,6.821107472256465,-3.443317678322481
eating up,1189,0.0052068055148137,7.080867896690782,-5.252568348051723
eats up,740,0.0079119367045063,6.606650186198215,-4.831439282475698
end up,185436,0.047608429033337,12.130465088021696,-2.9959664381727884
ended up,118008,0.1940911758951281,11.678507697759885,-1.4236425871512084
ending up,8917,0.0347361389445557,9.095714846134879,-3.3246208819651075
ends up,30711,0.0939093909390939,10.33237617558788,-2.266808919828762
face up,5510,0.0024082048957388,8.61431990214696,-6.026462556277957
facing up,2253,0.0072115384615384,7.720017940432244,-4.924835304292932
fasten up,45,0.0275229357798165,3.8066624897703196,-3.564826805443958
fastened up,29,0.0241935483870967,3.367295829986474,-3.6971782569286344
fed up,9259,0.2558039552880481,9.133351330448047,-1.0678931496305797
feel up,889,9.657652857333e-4,6.790097235513905,-6.941623496768933
feeling up,498,0.0016249283119862,6.210600077024653,-6.420665329934472
feet up,39,5.663500914873e-4,3.6635616461296463,-7.475731624250837
fess up,415,0.88,6.028278520230698,1.9924301646902063
fetch up,188,0.0144491270319084,5.236441962829949,-4.222566747023196
figure up,50,0.0016095654173373,3.912023005428146,-6.430180201382936
fill up,21377,0.0890548692904337,9.97007085667928,-2.3252299770591565
filled up,6730,0.0491437081161578,8.814330422638774,-2.962614114006115
filling up,9115,0.0985306828003457,9.117676687112763,-2.2136580066062774
fills up,2678,0.1348600508905852,7.8928255262511176,-1.8586537040580855
finish up,7499,0.0292018882423976,8.92252495730139,-3.503885155794037
finished up,4780,0.0064978563772775,8.472195825485501,-5.029763885238595
finishes up,520,0.0210135970333745,6.253828811575473,-3.8413480477582116
finishing up,5676,0.046875,8.644002038279933,-3.012261575505202
fire up,5094,0.0013016596160104,8.535818655539403,-6.642812693499856
fired up,5583,0.0174246898995865,8.62748154531036,-4.0322888321127595
firing up,1305,0.0067159167226326,7.173958319756794,-4.99653636971676
firm up,1958,0.004594180704441,7.579678823090456,-5.3783600742215825
fish up,104,6.467468632777e-4,4.6443908991413725,-7.342908630792147
fished up,63,0.0816326530612244,4.143134726391533,-2.42036812865043
fit up,1281,0.0026140255994231,7.155396301896734,-5.94424642249868
fitted up,178,0.077788191190253,5.181783550292085,-2.4727852892556563
fix up,1979,0.0188401924104756,7.590346945602565,-3.9527428670734466
fixed up,1436,0.0405143134400776,7.269616749608169,-3.164742067785
fixing up,1329,0.0292294065544729,7.192182058713246,-3.5029149060414837
flamed up,21,0.1829268292682926,3.044522437723423,-1.4966424182887565
flare up,1188,0.1237113402061855,7.080026499922591,-1.9577446067023168
flared up,745,0.4380952380952381,6.61338421837956,-0.2488960474166244
flares up,329,0.1301369863013698,5.796057750765372,-1.8997481072921514
flash up,106,0.005944215820759,4.663439094112067,-5.119374710219623
flashed up,115,0.0264496439471007,4.74493212836325,-3.6057068534314727
flew up,683,0.0620326779285516,6.52649485957079,-2.7160538009627326
flies up,186,0.0092915214866434,5.225746673713202,-4.6693180058118475
float up,323,0.0158924205378973,5.777652323222656,-4.125892919957027
floated up,144,0.0393811533052039,4.969813299576001,-3.194290349395587
floating up,206,0.0089686098654708,5.327876168789581,-4.705015520957813
floats up,106,0.0425531914893617,4.663439094112067,-3.1135153092103747
flung up,41,0.0257575757575757,3.713572066704308,-3.6329313801814056
fly up,999,0.0186279547790339,6.906754778648554,-3.9642882411207863
flying up,583,0.012140362547813,6.368187186350492,-4.3990049712083055
fold up,3190,0.0451727192205491,8.06777619577889,-3.051037118744618
folded up,1525,0.106694560669456,7.329749689041512,-2.1249583805042995
folding up,235,0.0883054892601432,5.459585514144159,-2.334502695962351
folds up,1454,0.0469083155650319,7.282073658093465,-3.011516141255255
follow up,32687,0.0210868779371008,10.394732724323175,-3.837791948776764
followed up,10852,0.0102115244347191,9.292104673778823,-4.5739743302196185
following up,7592,0.0061609938390061,8.934850340289763,-5.083337125872998
foot up,20,0.0010833397817844,2.995732273553991,-6.8266226918914645
form up,228,0.0020874845810797,5.429345628954441,-6.16970582116176
formed up,209,0.0055206548638873,5.342334251964811,-5.1937228409697935
found up,454,3.02962977924e-4,6.118097198041348,-8.101596936108937
free up,10148,0.0015043547110055,9.225031920719173,-6.497885748789463
freeze up,969,0.0259740259740259,6.876264611890766,-3.6243409329763683
freshen up,3533,0.5074626865671642,8.169902647359145,0.029852963149681343
freshened up,534,0.2459016393442623,6.280395838960195,-1.120591195386885
freshening up,561,0.275,6.329720905522696,-0.9694005571881034
froze up,231,0.0607287449392712,5.442417710521793,-2.7386871705641007
frozen up,192,0.0136789056875449,5.2574953720277815,-4.278127039655737
fucked up,1041,0.3519362186788154,6.947937068614969,-0.6105391572285858
galloping up,21,0.050595238095238,3.044522437723423,-2.9319777587286304
gang up,295,0.01001001001001,5.68697535633982,-4.5941092386286675
ganging up,186,0.7058823529411765,5.225746673713202,0.8754687373539001
gather up,2230,0.0661501787842669,7.709756864454165,-2.647388041043688
gathered up,1312,0.0667790893760539,7.179307969504034,-2.637251949092392
gathering up,596,0.0631578947368421,6.39024066706535,-2.696876900504085
gathers up,170,0.2102564102564102,5.135798437050262,-1.3233805357093216
gave up,25568,0.0315209125475285,10.149096848566002,-3.4250756739441988
gaze up,342,0.0070422535211267,5.834810737062605,-4.948759890378176
gazed up,152,0.0231254379817799,5.0238805208462765,-3.7434250298539915
gazing up,386,0.0525328330206379,5.955837369464831,-2.892353919100156
gear up,3975,0.016564952048823,8.287780027088433,-4.083762452891564
geared up,3963,0.2142857142857142,8.284756593190435,-1.2992829841302613
gearing up,10217,0.48,9.231808278591423,-0.0800427076735365
get up,56535,0.0263830851389942,10.942615194369345,-3.608294824669361
gets up,3418,0.0822683231290495,8.136810863675537,-2.411918918464312
getting up,11878,0.0241733039947934,9.382443228575806,-3.698036121533963
giddy up,23,0.1336405529953917,3.1354942159291497,-1.869146132843475
give up,74627,0.038624621930218,11.220257651005788,-3.214474997680984
given up,16018,0.0420042897998093,9.681468368883628,-3.127071548932144
gives up,3443,0.0143221264716591,8.144098463338524,-4.231523953816752
giving up,25521,0.0457307323313079,10.147256921643994,-3.0381753310637456
glance up,265,0.0059880239520958,5.579729825986222,-5.1119877883565445
glanced up,413,0.0966001079330814,6.023447592961033,-2.2355854452086668
glances up,47,0.0749574105621805,3.8501476017100584,-2.5129196860156755
glancing up,120,0.0753138075313807,4.787491742782046,-2.507790943621589
go up,36998,0.0153261643882085,10.518619136111335,-4.162748996386726
gobble up,987,0.0493562231759656,6.894670039433482,-2.9580755541159873
gobbled up,1231,0.5,7.115582126184454,0
goes up,12839,0.0260844539793836,9.460242692591084,-3.6199850875903716
going up,18833,0.013182517835359,9.843365929194746,-4.315593555135502
gone up,9082,0.0119111383171372,9.114049711657897,-4.418298679292094
got up,15005,0.0097891456080537,9.616138757874468,-4.616643723855625
gotten up,582,0.0207164436771687,6.366470447731438,-3.8558934738719532
grabbed up,103,0.0186528497409326,4.634728988229636,-3.962927335289916
grew up,95068,0.2465656422603031,11.462347704001257,-1.1170136425675008
grinding up,249,0.0331125827814569,5.517452896464707,-3.3741687092742376
ground up,1047,0.0014367816091954,6.953684210870537,-6.543911845564794
grow up,29787,0.2180228249592411,10.301827335701704,-1.277225793235768
growed up,56,0.3396226415094339,4.02535169073515,-0.6649763035932493
growing up,60517,0.1474440219687368,11.010679596283687,-1.7547902787111271
grown up,21288,0.1790346587284711,9.965898812657525,-1.5229014820219102
grows up,4037,0.1184210526315789,8.30325712085294,-2.007468042054747
hand up,75,3.847962717516e-4,4.31748811353631,-7.862411657690044
handed up,97,0.0056577086280056,4.574710978503383,-5.169062530690785
hands up,201,0.003071253071253,5.303304908059076,-5.782593655080514
hang up,5558,0.0717339032861341,8.62299361030245,-2.560354948805463
hanged up,48,0.0313075506445672,3.871201010907891,-3.4320878686814944
hanging up,2353,0.0601421541826134,7.763446388727362,-2.7490176395904338
hangs up,706,0.2721712538226299,6.559615237493242,-0.9836343039393352
happened up,108,4.538630730021e-4,4.68213122712422,-7.697261040630689
happening up,92,0.0018487705675725,4.5217885770490405,-6.291383937224276
harnessed up,53,0.0797101449275362,3.970291913552122,-2.4462918136602214
haul up,183,0.0591805766312594,5.209486152841421,-2.7661578319094926
hauled up,274,0.1426229508196721,5.6131281063880705,-1.7936733454103393
hauling up,66,0.0441176470588235,4.189654742026425,-3.075774981227528
head up,5513,0.0025749943613262,8.614864218589684,-5.959329619283499
headed up,4945,0.0143939393939393,8.506132244056813,-4.226449499346072
heading up,4164,0.018348623853211,8.33423142973486,-3.9796816539019613
heads up,3101,0.0115971515768056,8.03947991910045,-4.445330841727576
heal up,458,0.0177619893428063,6.126869184114185,-4.012772908528294
healed up,292,0.0404984423676012,5.676753802268282,-3.165150425512039
heaped up,92,0.1936936936936936,4.5217885770490405,-1.4261856901471932
heat up,10759,0.0215827338129496,9.283497892593909,-3.814042597067944
heated up,2621,0.0539215686274509,7.8713112033234065,-2.8647949161065167
heating up,4837,0.0275526742301458,8.484049972822984,-3.563716311159933
heats up,4177,0.2886597938144329,8.337348564497175,-0.901901994422056
heaved up,35,0.0414937759336099,3.5553480614894135,-3.1398326175277496
held up,12195,0.0506134969325153,9.40878131065002,-2.931597711218117
hide up,45,0.0017947950942267,3.8066624897703196,-6.3210680095233425
hiding up,34,0.0029819329942115,3.5263605246161616,-5.8121971451607894
hit up,4777,0.0010588733587462,8.471568013389962,-6.84949037085025
hitch up,171,0.0991735537190082,5.14166355650266,-2.2064412324411444
hitched up,145,0.1914893617021276,4.976733742420574,-1.4403615823901668
hoisted up,186,0.0971867007672634,5.225746673713202,-2.2288818972069113
hold up,21967,0.0227014755959137,9.997296606214185,-3.7623622308737414
holding up,6932,0.0911424903722721,8.843903650835497,-2.299764216652405
holds up,11605,0.1622025291247635,9.359191318708538,-1.6419306555484212
holed up,1565,0.6440677966101694,7.3556411029742534,0.5930637220029625
hook up,9037,0.0501193317422434,9.109082539901955,-2.9419295675610155
hooked up,8723,0.3156089193825043,9.07371849443322,-0.7740256592808779
hooking up,2292,0.32,7.73718007783463,-0.7537718023763801
hooks up,518,0.0270793036750483,6.249975242259483,-3.5815328404844826
hoover up,91,0.0237691001697792,4.51085950651685,-3.715312711182096
hoovered up,71,0.3448275862068966,4.2626798770413155,-0.6418538861723946
hop up,328,0.0127877237851662,5.793013608384144,-4.346399457030734
hopped up,748,0.0824088748019017,6.617402977974478,-2.4100587589915685
hopping up,146,0.0267489711934156,4.983606621708336,-3.5941460310303976
house up,480,1.929184103522e-4,6.173786103901937,-8.553050265708563
huddle up,215,0.2293577981651376,5.3706380281276624,-1.211940973975113
huddled up,165,0.1189591078066914,5.10594547390058,-2.002324238335405
hunched up,57,0.2564102564102564,4.04305126783455,-1.0647107369924285
